1	The scope of the discipline of statistics broadened in the early 19th century to include the collection and analysis of data in general.
pol	-154.2175532
swe	-159.2164195
fin	-117.9984155
dan	-159.2164195
tgl	-159.2164195
gla	-159.2164195
dut	-159.2164195
ita	-159.2164195
spa	-159.2164195
nob	-159.2164195
fra	-154.1507011
eng	-153.1717844
por	-159.2164195
swh	-159.2164195
result	fin
16	Palikuwa pia na vipindi na utamaduni ambako wapiganaji walikuwa watu wa pekee wenye jukumu hii ama kwa sababu walipaswa kuwa askari kufuatana na sheria za nchi au kwa sababu walikodiwa kwa kazi hii.
deu	-210.7209833
pol	-203.1781489
swe	-214.9421665
fin	-214.9421665
dan	-210.7312158
tgl	-208.3403565
gla	-208.4333237
dut	-205.9549998
ita	-210.7300288
spa	-210.7900898
nob	-214.9421665
fra	-209.0492492
eng	-214.9421665
por	-204.9296408
swh	-103.0802987
result	swh
17	considera-se o estado "ideal" de guerra, ou seja, uma guerra em que prevalece a diplomacia, a estratégia e a racionalidade, não havendo inspiração de ordem emocional ou moralista. 
deu	-168.9343579
pol	-171.6946097
swe	-176.967169
fin	-174.7827517
dan	-168.0474352
tgl	-168.2064198
gla	-170.9644785
dut	-167.4296208
ita	-151.042167
spa	-144.4944494
nob	-172.4092664
fra	-158.8709836
eng	-172.8822437
por	-104.0008589
swh	-183.0988825
result	por
18	Vanaf het begin is oorlog voeren al onderworpen geweest aan wetten en reglementen, al zijn die in de loop der tijd wel veranderd. Er is met name veel nagedacht over de rechtvaardiging van een oorlog. 
deu	-209.0124984
pol	-246.7854505
swe	-225.4763189
fin	-233.3646239
dan	-210.3698137
tgl	-241.7643023
gla	-229.6434982
dut	-124.4135176
ita	-225.0700438
spa	-223.1000527
nob	-224.2070128
fra	-229.8567946
eng	-209.2288901
por	-235.5875566
swh	-242.3029795
result	dut
19	El concepto de quiénes son los combatientes también varía con el grado de organización de las sociedades enfrentadas. Las dos posibilidades más frecuentes son civiles sacados de la población general, generalmente varones jóvenes, 
deu	-220.7823551
pol	-230.8638085
swe	-224.732095
fin	-226.6912501
dan	-219.7700427
tgl	-218.0282506
gla	-219.8839115
dut	-219.0948128
ita	-208.8738807
spa	-130.8927245
nob	-220.2411392
fra	-212.2490447
eng	-222.2795909
por	-213.2964675
swh	-224.825035
result	spa
20	Bhris an cogadh amach sa bhliain 1775 nuair a ghlac na réabhlóidithe seilbh ar na rialtais i ngach coilíneacht agus chuireadar an Dara Chomhdháil Ilchríochach agus an tArm Ilchríochach nua ar bun. 
deu	-197.0347746
pol	-182.7125335
swe	-200.5236412
fin	-202.8377732
dan	-196.2700283
tgl	-193.5368234
gla	-119.6063185
dut	-198.0143587
ita	-190.5843396
spa	-200.5951016
nob	-200.3256852
fra	-192.0965274
eng	-195.1520661
por	-194.4914061
swh	-200.2224127
result	gla
21	la guerre économique pouvant alors, sous une apparence plus socialement et éthiquement acceptable, satisfaire d'autres appétits de pouvoirs que ceux qui animaient les auteurs des guerres ethniques, de religions, de classe, 
deu	-187.9185979
pol	-230.8638085
swe	-224.732095
fin	-226.6912501
dan	-187.0911445
tgl	-225.8426603
gla	-225.0539357
dut	-187.9373616
ita	-187.4274371
spa	-183.8742163
nob	-214.4565738
fra	-142.1177332
eng	-222.8176358
por	-186.1123427
swh	-220.643594
result	fra
22	Kriget framträder antingen som försvarskrig, till avvärjande av framställda anspråk, som ej kan godtas, eller anfallskrig, som avser att framtvinga sådana anspråks godkännande: 
deu	-167.1772405
pol	-167.1772405
swe	-113.7931431
fin	-167.1772405
dan	-149.8201023
tgl	-167.1772405
gla	-167.1772405
dut	-161.7185292
ita	-167.1772405
spa	-167.1772405
nob	-143.7969408
fra	-167.1772405
eng	-167.1772405
por	-167.1772405
swh	-167.1772405
result	swe
23	Karamihan sa mga isla dito ay mabundok, at ang iba ay may mga bulkan, kabilang na ang pinakamataas na bahagi ng bansa, Ang Hapon ay pangsampu sa may pinakamalaking populasyon, na may 128 milyong katao. 
deu	-206.9813455
pol	-190.7663
swe	-206.9813455
fin	-206.9813455
dan	-200.3892427
tgl	-86.90345756
gla	-194.7756694
dut	-202.1786876
ita	-202.73495
spa	-206.9813455
nob	-201.1326627
fra	-201.9600807
eng	-196.5422691
por	-196.9462441
swh	-200.2224127
result	tgl
24	For a state to prosecute a war it must have the support of its leadership, its military forces, and the population. For example, in the 
deu	-143.5062457
pol	-143.3922167
swe	-154.2941398
fin	-155.0728472
dan	-139.7149977
tgl	-149.6238586
gla	-142.7261402
dut	-143.3120743
ita	-142.0686812
spa	-152.8301756
nob	-148.8236046
fra	-144.9479108
eng	-61.5106926
por	-152.5604746
swh	-149.9504475
result	eng
25	Si giunge alla guerra quando il contrasto di interessi economici, ideologici, strategici o di altra natura non riesce a trovare una soluzione negoziata, o quando almeno una delle parti percepisce l'inesistenza di altri mezzi per il conseguimento 
deu	-238.4215654
pol	-230.8874614
swe	-237.2001828
fin	-242.6418782
dan	-238.5577758
tgl	-227.321575
gla	-240.4609193
dut	-234.2982849
ita	-137.708112
spa	-216.0651082
nob	-242.6443379
fra	-221.2206559
eng	-236.4998913
por	-220.4831149
swh	-246.7854505
result	ita
26	Krig kan defineres som, erklærede fjendtlige handlinger mellem to eller flere lande eller stater. Årsagerne til krig kan være mange, for eksempel: ønske om at udvide landet, 
deu	-199.0205245
pol	-193.2715357
swe	-166.6975968
fin	-199.0205245
dan	-100.347854
tgl	-192.5037253
gla	-199.0205245
dut	-187.6985659
ita	-199.0205245
spa	-199.0205245
nob	-122.3208976
fra	-199.0205245
eng	-180.7903551
por	-194.5343741
swh	-199.0205245
result	dan
27	Wojna jest zjawiskiem spoleczno-politycznym i jako takie jest obecna w historii czlowieka od poczatków jego spolecznej organizacji. Zasieg wojny jest zalezny od stopnia rozwoju technologicznego.
deu	-175.1380615
pol	-110.5402771
swe	-168.6803572
fin	-175.1380615
dan	-168.6439365
tgl	-175.1380615
gla	-168.9680373
dut	-175.1380615
ita	-169.1703065
spa	-175.1380615
nob	-168.4824012
fra	-175.1380615
eng	-175.1380615
por	-175.1380615
swh	-175.1380615
result	pol
28	Während individuelles oder kollektives Rauben und absichtliches Töten von Menschen heute generell als Verbrechen gilt und in einem Rechtsstaat strafbar ist, wird "Krieg" nicht als gewöhnliche Kriminalität betrachtet,
deu	-127.3184965
pol	-206.9813455
swe	-202.0590658
fin	-206.9813455
dan	-206.9813455
tgl	-206.9813455
gla	-201.4213502
dut	-195.026151
ita	-200.6792452
spa	-206.9813455
nob	-206.9813455
fra	-206.9813455
eng	-200.6139888
por	-206.9813455
swh	-202.4988745
result	deu
29	Tavoitteellisuus tekee sodasta poliittista toimintaa. Jos tavoitteisiin päästään neuvottelemalla tai sodan uhalla, ei kalliiseen taisteluun ole tarvetta. Vihollisen taistelukyky voidaan poistaa tappamalla ja vangitsemalla sen johtajat ja riisumalla sen armeija aseista. 
deu	-226.0455984
pol	-226.4670022
swe	-226.7345395
fin	-168.2128016
dan	-226.7505543
tgl	-230.8638085
gla	-230.8638085
dut	-230.8638085
ita	-230.8638085
spa	-230.8638085
nob	-226.5466046
fra	-230.8638085
eng	-230.8638085
por	-230.8638085
swh	-230.8638085
result	fin
30	Fysisk styrke og våpen har i uminnelige tider vært brukt som et maktmiddel i konflikter mellom mennesker. Et organisert militærvesen av et eller annet slag har derfor vært et viktig del av maktapparatet 
deu	-210.1869249
pol	-208.419879
swe	-170.6803555
fin	-214.9421665
dan	-154.9182731
tgl	-214.9421665
gla	-208.7721423
dut	-210.2527697
ita	-198.1103782
spa	-204.1164717
nob	-114.6983207
fra	-203.7915299
eng	-214.9421665
por	-210.2370233
swh	-210.7607255
result	nob
